"entidad";"jurisdiccion";"municipio";"localidad";"consultorios";"camas_censables";"camas_no_censables";"mdc_gral_esp_odon";"per_medico_en_adiestramiento";"medicos_en_otras_act";"per_de_enfermeria_en_contacto_c_paciente";"per_de_enfermerica_en_otras_labores";"otro_per_prof";"per_tec";"otro_per"
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"NANCHITAL DE LAZARO CARDENAS DEL RIO";"NANCHITAL DE LAZARO CARDENAS DEL RIO";5;0;0;10;1;0;9;0;0;0;4
"VERACRUZ DE IGNACIO DE LA LLAVE";"COSAMALOAPAN";"TRES VALLES";"TRES VALLES";5;0;0;8;1;0;5;4;0;8;4
"VERACRUZ DE IGNACIO DE LA LLAVE";"COSAMALOAPAN";"TRES VALLES";"LA GRANJA";2;0;0;2;0;0;2;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COSAMALOAPAN";"TRES VALLES";"LAS MESILLAS";1;0;0;2;0;0;1;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COSAMALOAPAN";"TRES VALLES";"LOS NARANJOS";1;0;0;1;1;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COSAMALOAPAN";"TRES VALLES";"PARAISO RIO TONTO";2;0;0;1;0;0;0;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COSAMALOAPAN";"TRES VALLES";"POBLADO TRES";2;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COSAMALOAPAN";"CARLOS A. CARRILLO";"CARLOS A. CARRILLO";3;0;0;5;1;0;8;3;2;5;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"UXPANAPA";"BELISARIO DOMINGUEZ";2;0;0;1;0;0;0;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"UXPANAPA";"BENITO JUAREZ SEGUNDO (LA RAYA)";2;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"UXPANAPA";"CAROLINO ANAYA UNO (POBLADO UNO)";1;0;0;1;0;0;1;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"UXPANAPA";"LA HORQUETA (POBLADO DOCE)";1;0;0;2;0;0;1;0;0;2;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"UXPANAPA";"JORGE L. TAMAYO (POBLADO DOS)";1;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"UXPANAPA";"POBLADO CINCO";1;0;0;1;0;0;1;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"TUXPAN";"ALAMO TEMAPACHE";"JARDIN VIEJO";1;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"TUXPAN";"TUXPAN";"ALTO LUCERO";4;0;0;7;0;0;12;0;0;5;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"MARTINEZ DE LA TORRE";"TLAPACOYAN";"TLAPACOYAN";5;0;0;7;1;1;10;1;0;6;2
"VERACRUZ DE IGNACIO DE LA LLAVE";"MARTINEZ DE LA TORRE";"TLAPACOYAN";"TLAPACOYAN";5;0;0;5;1;1;9;1;0;1;2
"VERACRUZ DE IGNACIO DE LA LLAVE";"XALAPA";"TLALTETELA";"POXTLA";2;0;0;1;0;0;1;0;0;1;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"XALAPA";"TEPETLAN";"VICENTE GUERRERO (TEPETATES)";2;0;0;1;0;0;1;0;0;1;2
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"HIDALGOTITLAN";"JAVIER ROJO GOMEZ";2;0;0;2;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"ILAMATLAN";"SAN PABLO MITECATLAN";3;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"ZACUALPAN";"LA PEZMA";2;0;0;0;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"CORDOBA";"AMATLAN DE LOS REYES";"CACAHUATAL";2;0;0;1;1;0;2;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"CORDOBA";"CORDOBA";"FREDEPO";5;0;0;9;1;0;12;0;0;3;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"CORDOBA";"CUICHAPA";"PROVIDENCIA";2;0;0;1;0;0;2;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"ATLAHUILCO";"ZACAMILOLA";4;0;0;2;2;0;3;0;0;0;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"ATLAHUILCO";"ATLEHUAYA";3;0;0;4;0;0;3;0;0;0;0
